report,categoria,regione,popolazione,prima_dose,seconda_dose
20210410,over80,ABR,117724,74310,45718
20210410,over80,BAS,46235,37312,20755
20210410,over80,CAL,149938,73351,47936
20210410,over80,CAM,304317,194213,127144
20210410,over80,EMR,368307,293740,175976
20210410,over80,FVG,105917,67400,42535
20210410,over80,LAZ,440000,292577,192390
20210410,over80,LIG,159558,92406,62661
20210410,over80,LOM,765259,574515,288009
20210410,over80,MAR,136193,103337,58576
20210410,over80,MOL,27222,19720,13754
20210410,over80,PAB,33885,25322,21122
20210410,over80,PAT,35500,30579,22125
20210410,over80,PIE,379802,277748,173513
20210410,over80,PUG,281886,178304,106651
20210410,over80,SAR,124768,75587,28870
20210410,over80,SIC,342909,155702,106265
20210410,over80,TOS,320589,218376,86736
20210410,over80,UMB,86402,55068,27644
20210410,over80,VDA,8623,6199,3282
20210410,over80,VEN,358540,287208,130225
20210410,70-79,ABR,134480,17563,1949
20210410,70-79,BAS,53387,1419,740
20210410,70-79,CAL,185899,19682,7608
20210410,70-79,CAM,484380,130175,7417
20210410,70-79,EMR,455912,127015,12395
20210410,70-79,FVG,140186,31585,2564
20210410,70-79,LAZ,573178,168640,19607
20210410,70-79,LIG,184550,41224,3789
20210410,70-79,LOM,1006561,58737,29246
20210410,70-79,MAR,157486,22113,2834
20210410,70-79,MOL,30901,5483,843
20210410,70-79,PAB,48908,14206,1526
20210410,70-79,PAT,51800,14399,2183
20210410,70-79,PIE,477148,70283,11451
20210410,70-79,PUG,405212,16054,4863
20210410,70-79,SAR,175751,26239,4681
20210410,70-79,SIC,476607,118275,12412
20210410,70-79,TOS,410893,129305,9536
20210410,70-79,UMB,96920,5805,1341
20210410,70-79,VDA,12966,3542,412
20210410,70-79,VEN,494443,183406,12660
20210410,rsa,ABR,4500,4261,3741
20210410,rsa,BAS,2600,2203,2146
20210410,rsa,CAL,12414,12414,9404
20210410,rsa,CAM,8568,7807,6735
20210410,rsa,EMR,28894,26240,22599
20210410,rsa,FVG,8651,8651,7579
20210410,rsa,LAZ,21378,21378,17331
20210410,rsa,LIG,12500,11128,9546
20210410,rsa,LOM,65463,65463,56114
20210410,rsa,MAR,6582,6582,5161
20210410,rsa,MOL,2420,2420,2131
20210410,rsa,PAB,4518,3032,3403
20210410,rsa,PAT,4338,4338,3802
20210410,rsa,PIE,32783,32783,27424
20210410,rsa,PUG,17955,14160,11298
20210410,rsa,SAR,9161,9161,6938
20210410,rsa,SIC,32000,22956,17608
20210410,rsa,TOS,20155,20155,15607
20210410,rsa,UMB,4795,4603,3971
20210410,rsa,VDA,1035,704,597
20210410,rsa,VEN,51549,41002,32924
20210410,sanitari,ABR,35077,35077,28793
20210410,sanitari,BAS,13000,12745,10556
20210410,sanitari,CAL,46862,41278,38252
20210410,sanitari,CAM,99627,99627,88099
20210410,sanitari,EMR,187357,146180,123082
20210410,sanitari,FVG,47625,34918,31743
20210410,sanitari,LAZ,228517,228517,126134
20210410,sanitari,LIG,65000,49677,39777
20210410,sanitari,LOM,296896,296896,234233
20210410,sanitari,MAR,37550,37436,34156
20210410,sanitari,MOL,8199,8199,6244
20210410,sanitari,PAB,15557,11396,11360
20210410,sanitari,PAT,16500,15330,12459
20210410,sanitari,PIE,142000,136017,123520
20210410,sanitari,PUG,140000,119457,101641
20210410,sanitari,SAR,48544,48544,37924
20210410,sanitari,SIC,141318,118418,111032
20210410,sanitari,TOS,123107,123107,115496
20210410,sanitari,UMB,27034,25104,20867
20210410,sanitari,VDA,3343,3343,2973
20210410,sanitari,VEN,151576,126501,113081
20210410,scolastici,ABR,30000,27338,543
20210410,scolastici,BAS,16077,11562,91
20210410,scolastici,CAL,46350,22224,356
20210410,scolastici,CAM,183278,139842,3267
20210410,scolastici,EMR,110252,75953,528
20210410,scolastici,FVG,25000,22954,21
20210410,scolastici,LAZ,128327,109420,403
20210410,scolastici,LIG,40000,15839,166
20210410,scolastici,LOM,218704,187258,1465
20210410,scolastici,MAR,36812,21834,363
20210410,scolastici,MOL,7443,7384,54
20210410,scolastici,PAB,21348,10862,64
20210410,scolastici,PAT,13000,7578,48
20210410,scolastici,PIE,117885,74614,463
20210410,scolastici,PUG,110000,97625,2380
20210410,scolastici,SAR,44105,21318,331
20210410,scolastici,SIC,140000,69778,770
20210410,scolastici,TOS,80000,64884,210
